"Item_Number","Name","Year","Theme","Subtheme","Pieces","Minifigures","Image_URL","GBP_MSRP","USD_MSRP","CAD_MSRP","EUR_MSRP","Packaging","Availability"
"10246","Detective's Office",2015,"Advanced Models","Modular Buildings",2262,6,"http://images.brickset.com/sets/images/10246-1.jpg",132.99,159.99,199.99,149.99,"Box","Retail - limited"
"10247","Ferris Wheel",2015,"Advanced Models","Fairground",2464,10,"http://images.brickset.com/sets/images/10247-1.jpg",149.99,199.99,229.99,179.99,"Box","Retail - limited"
"10248","Ferrari F40",2015,"Advanced Models","Vehicles",1158,NA,"http://images.brickset.com/sets/images/10248-1.jpg",69.99,99.99,119.99,89.99,"Box","LEGO exclusive"
"10249","Toy Shop",2015,"Advanced Models","Winter Village",898,NA,"http://images.brickset.com/sets/images/10249-1.jpg",59.99,79.99,NA,69.99,"Box","LEGO exclusive"
"10581","Ducks",2015,"Duplo","Forest Animals",13,1,"http://images.brickset.com/sets/images/10581-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"10582","Animals",2015,"Duplo","Forest Animals",39,2,"http://images.brickset.com/sets/images/10582-1.jpg",16.99,19.99,24.99,19.99,"Box","Retail"
"10583","Fishing Trip",2015,"Duplo","Forest Animals",32,2,"http://images.brickset.com/sets/images/10583-1.jpg",19.99,24.99,29.99,24.99,"Box","Retail"
"10584","Forest",2015,"Duplo","Forest Animals",105,3,"http://images.brickset.com/sets/images/10584-1.jpg",49.99,59.99,69.99,59.99,"Box","Retail"
"10585","Mom and Baby",2015,"Duplo","",13,2,"http://images.brickset.com/sets/images/10585-1.jpg",8.99,9.99,12.99,9.99,"Box","Retail"
"10586","Ice Cream Truck",2015,"Duplo","",11,2,"http://images.brickset.com/sets/images/10586-1.jpg",12.99,14.99,14.99,14.99,"Box","Retail"
"10587","Cafe",2015,"Duplo","",52,3,"http://images.brickset.com/sets/images/10587-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"10589","Rally Car",2015,"Duplo","",13,1,"http://images.brickset.com/sets/images/10589-1.jpg",12.99,14.99,14.99,14.99,"Box","Retail"
"10590","Airport",2015,"Duplo","",29,NA,"http://images.brickset.com/sets/images/10590-1.jpg",16.99,19.99,24.99,19.99,"Box","Retail"
